From_Format,To_Format,Color_Mode,Tone_Map,Demosaic_Raw,Target_Dtype,Target_Ext,Description_and_Notes
Standard (JPG/PNG),Standard (JPG/PNG),none,FALSE,N/A,uint8 or uint16,.png/.jpg,Simple format swap. No color space changes needed.
Standard (JPG/PNG),High-End (EXR),srgb_to_linear,FALSE,N/A,float32,.exr,Un-bends gamma to Linear space. Essential for VFX/Compositing.
Standard (JPG/PNG),Binary (.raw),none,FALSE,N/A,uint8,.raw,Dumps pixel data to a headerless binary stream.
High-End (EXR),Standard (JPG/PNG),linear_to_srgb,TRUE,N/A,uint16,.png,Compresses bright highlights (Tone Map) and adds Gamma for display.
High-End (EXR),Standard (JPG/PNG),linear_to_srgb,FALSE,N/A,uint16,.png,Adds Gamma only. Highlights > 1.0 will clip to white (loss of detail).
High-End (EXR),High-End (HDR),none,FALSE,N/A,float32,.hdr,Lossless floating-point format swap.
Camera Raw (CR2),Standard (PNG),linear_to_srgb,FALSE,TRUE,uint16,.png,Visual Workflow. Code loads Linear -> Applies Gamma. Good for standard viewing.
Camera Raw (CR2),Standard (PNG),linear_to_srgb,TRUE,TRUE,uint16,.png,Artistic Workflow. Code loads Linear -> Tone Map -> Gamma. Best for highlights.
Camera Raw (CR2),High-End (EXR),none,FALSE,TRUE,float32,.exr,Data Workflow. Code loads Linear -> Saves Linear. Mathematically perfect data copy.
Camera Raw (CR2),Binary (.raw),none,FALSE,FALSE,uint16,.raw,Sensor Dump. Saves the grayscale Bayer Mosaic pattern directly (Linear).
Binary (.raw),Standard (PNG),linear_to_srgb,FALSE,N/A,uint8,.png,Requires 'blind_raw_settings'. Code assumes Binary is Linear -> Applies Gamma.
Binary (.raw),High-End (EXR),none,FALSE,N/A,float32,.exr,Requires 'blind_raw_settings'. Code assumes Binary is Linear -> Saves directly.
